FIPS,insurance,cancer,UrbanIntense,NoInternet,UNEMP,singleparent,LimEnglish,Housing_T,NDVI,VacantH,asthma,X,Y
20117,15.6,6.5,0.001,0.224,0.2745,0.1162,0.1477,0.1191,0.689106061,0.162,9.7,-96.52293675,39.78362605
20119,20,6.5,0,0.206,0.1035,0.8185,0.8685,0.0866,0.487483333,0.153,10,-100.3661803,37.23819641
20121,13.2,6.5,0.002,0.187,0.1484,0.2665,0.0707,0.0634,0.651514286,0.065,9.4,-94.83805698,38.56358323
20123,14.3,6.6,0.001,0.191,0.1369,0.3247,0.1477,0.3661,0.480846667,0.21,9.7,-98.20936482,39.39326593
20125,17.9,6.6,0.003,0.241,0.5006,0.7905,0.6905,0.6571,0.531440278,0.179,10.4,-95.74287808,37.1925238
20127,16,6.6,0,0.194,0.1484,0.3247,0.4642,0.1834,0.522950617,0.298,9.8,-96.64984961,38.68742925
20129,20,6.4,0,0.248,0.1946,0.3613,0.9239,0.0812,0.4037975,0.235,9.7,-101.7992522,37.19139597
20131,14.5,6.5,0.001,0.209,0.0433,0.1162,0.1477,0.2041,0.652641975,0.127,9.5,-96.01410166,39.78344761
20133,16.2,6.6,0.002,0.261,0.2188,0.8383,0.4187,0.6702,0.622606349,0.137,10.1,-95.30679231,37.55848541
20135,17.2,6.6,0,0.244,0.0949,0.0398,0.8386,0.0544,0.377975214,0.242,9.8,-99.91617979,38.47941878
20137,17.7,6.5,0,0.177,0.0194,0.2537,0.6087,0.6555,0.529474747,0.24,9.4,-99.90347688,39.78438533
20139,15.9,6.6,0.001,0.202,0.4691,0.4712,0.1477,0.1216,0.591979167,0.135,9.9,-95.72694514,38.65232892
20141,15,6.5,0,0.242,0.0777,0.2537,0,0.0264,0.468363636,0.228,9.6,-98.7679898,39.350334
20143,14.5,6.5,0,0.236,0.086,0.0665,0.227,0.0239,0.505939286,0.13,9.6,-97.65021577,39.1325375
20145,17.4,6.5,0,0.267,0.0573,0.5775,0.3582,0.1656,0.476182278,0.21,9.7,-99.23672935,38.18133078
20147,15.4,6.6,0.001,0.167,0.0777,0.3613,0.297,0.348,0.491901852,0.234,10,-99.34702212,39.78458311
20149,13.7,6.5,0.002,0.127,0.2455,0.4126,0.4642,0.2254,0.594844186,0.084,9.5,-96.34236499,39.37900278
20151,15,6.6,0.001,0.243,0.2188,0.1337,0.7966,0.7087,0.540787805,0.18,9.9,-98.73959571,37.64773534
20153,15.1,6.6,0,0.193,0.0306,0.0207,0.774,0.0621,0.423602564,0.196,9.5,-101.0757051,39.78524091
20155,16.5,6.8,0.003,0.175,0.3299,0.5234,0.5492,0.7947,0.518984034,0.12,10.1,-98.08600666,37.95295285
20157,14,6.6,0.001,0.294,0.0777,0.0175,0.1477,0.2092,0.635967857,0.22,9.5,-97.65062277,39.82779632
20159,16.7,6.6,0.001,0.199,0.4691,0.1573,0.5791,0.2974,0.452003704,0.158,9.8,-98.20102996,38.34714287
20161,14.6,6.6,0.005,0.088,0.5006,0.3435,0.631,0.9532,0.506235938,0.13,9.8,-96.73517698,39.2965532
20163,15,6.6,0.001,0.24,0.2455,0.3961,0,0.0742,0.478318182,0.237,9.9,-99.32505712,39.35022875
