FIPS,ZONE_CODE,AREA
17031430101,443,50165.00000000000
17031430102,444,99217.00000000000
17031430200,445,190226.00000000000
17031430300,446,79860.00000000000
17031430400,447,118535.00000000000
17031430500,448,56151.00000000000
17031430600,449,76568.00000000000
17031430700,450,28986.00000000000
17031430800,451,76478.00000000000
17031430900,452,78776.00000000000
17031431200,453,179158.00000000000
17031431301,454,97696.00000000000
17031431302,455,83620.00000000000
17031431400,456,216132.00000000000
17031440101,457,70611.00000000000
17031440102,458,150931.00000000000
17031440201,459,93128.00000000000
17031440202,460,202583.00000000000
17031440300,461,301200.00000000000
17031440600,462,141565.00000000000
17031440700,463,65582.00000000000
17031440800,464,59500.00000000000
17031440900,465,185400.00000000000
17031450300,466,228971.00000000000
17031460100,467,230030.00000000000
17031460200,468,149667.00000000000
17031460301,469,127657.00000000000
17031460302,470,176049.00000000000
17031460400,471,163286.00000000000
17031460500,472,351368.00000000000
17031460600,473,59526.00000000000
17031460700,474,95664.00000000000
17031461000,475,35727.00000000000
17031470100,476,342843.00000000000
17031480100,477,131602.00000000000
17031480200,478,55430.00000000000
17031480300,479,103034.00000000000
17031480400,480,331498.00000000000
17031480500,481,246241.00000000000
17031490300,482,133496.00000000000
17031490400,483,50254.00000000000
17031490500,484,245332.00000000000
17031490600,485,98859.00000000000
17031490700,486,155813.00000000000
17031490800,487,173918.00000000000
17031490901,488,153573.00000000000
17031490902,489,254380.00000000000
17031491000,490,357403.00000000000
17031491100,491,314941.00000000000
17031491200,492,164162.00000000000
17031491300,493,186807.00000000000
17031491400,494,157718.00000000000
17031500100,495,410930.00000000000
17031500200,496,337329.00000000000
17031500300,497,127549.00000000000
17031510100,498,261840.00000000000
17031510200,499,310924.00000000000
17031510300,500,784148.00000000000
17031520100,501,389497.00000000000
17031520200,502,117179.00000000000
17031520300,503,166234.00000000000
17031520400,504,111231.00000000000
17031520500,505,183960.00000000000
17031520600,506,193902.00000000000
17031530100,507,133106.00000000000
17031530200,508,441076.00000000000
17031530300,509,339320.00000000000
17031530400,510,237876.00000000000
17031530501,511,418835.00000000000
17031530502,512,238390.00000000000
17031530503,513,481374.00000000000
17031530600,514,241126.00000000000
17031540101,515,1157475.00000000000
17031540102,516,659267.00000000000
17031550100,517,1615755.00000000000
17031550200,518,814494.00000000000
17031560100,519,92440.00000000000
17031560200,520,180574.00000000000
17031560300,521,121986.00000000000
17031560400,522,40734.00000000000
17031560700,523,67347.00000000000
17031560800,524,188913.00000000000
17031560900,525,262632.00000000000
17031561000,526,221594.00000000000
17031561100,527,207971.00000000000
17031570100,528,57773.00000000000
17031570200,529,112033.00000000000
17031570300,530,119886.00000000000
17031570400,531,54642.00000000000
17031570500,532,48982.00000000000
17031580100,533,77218.00000000000
17031580200,534,93260.00000000000
17031580300,535,53924.00000000000
17031580400,536,75251.00000000000
17031580501,537,74411.00000000000
17031580502,538,82810.00000000000
17031580600,539,77748.00000000000
17031580700,540,108739.00000000000
17031580800,541,31295.00000000000
17031590500,542,161520.00000000000
17031590600,543,66110.00000000000
17031590700,544,67204.00000000000
17031600400,545,36396.00000000000
17031600600,546,41449.00000000000
17031600700,547,32538.00000000000
17031600900,548,37928.00000000000
17031610300,549,155350.00000000000
17031610400,550,15868.00000000000
17031610800,551,51096.00000000000
17031611000,552,123243.00000000000
17031611100,553,93666.00000000000
17031611200,554,84882.00000000000
17031611300,555,62575.00000000000
17031611400,556,61590.00000000000
17031611500,557,69487.00000000000
17031611600,558,84020.00000000000
17031611700,559,99246.00000000000
17031611800,560,77390.00000000000
17031611900,561,212048.00000000000
17031612000,562,114979.00000000000
17031612100,563,113732.00000000000
17031620100,564,114598.00000000000
17031620200,565,70880.00000000000
17031620300,566,150350.00000000000
17031620400,567,86405.00000000000
17031630100,568,80196.00000000000
17031630200,569,51773.00000000000
17031630300,570,119749.00000000000
17031630400,571,100034.00000000000
17031630500,572,111615.00000000000
17031630800,573,79562.00000000000
17031630900,574,102119.00000000000
17031640100,575,35911.00000000000
17031640300,576,175559.00000000000
17031640400,577,122521.00000000000
17031640500,578,74110.00000000000
17031640600,579,57773.00000000000
17031640700,580,101161.00000000000
17031640800,581,36238.00000000000
17031650100,582,108944.00000000000
17031650200,583,146509.00000000000
