"","LocationName","Data_Value"
"600668","17031490700",12.5
"600695","17031480500",11.9
"600722","17031802701",8.8
"600815","17031730100",11.9
"600879","17031292500",13.4
"600916","17031803604",8.6
"600959","17031252201",13.6
"600996","17031280400",14.6
"601010","17031271200",13.6
"601032","17031801601",7.7
"601034","17031420500",12.5
"601042","17031450300",12.4
"601060","17031650302",9.2
"601086","17031810100",8.6
"601124","17031620100",8.4
"601146","17031804902",8.5
"601187","17031805107",8.7
"601188","17031803007",8.4
"601206","17031805401",8.8
"601222","17031810301",9.5
"601225","17031460600",12.6
"601236","17031730300",12.5
"601284","17031260700",15.2
"601318","17031700302",9.2
"601363","17031801702",7.9
"601424","17031440201",13.3
"601442","17031710300",13.1
"601450","17031561100",8.9
"601469","17031804105",8.1
"601485","17031640800",8.5
"601527","17031802702",8.3
"601620","17031802605",8.2
"601628","17031400400",13.4
"601648","17031770201",8.2
"601664","17031590700",8.8
"601721","17031431302",13.5
"601733","17031640500",8.8
"601739","17031260600",15
"601803","17031630800",9.2
"601852","17031803702",8
"601853","17031381400",12.8
"601919","17031809300",9.6
"601932","17031711300",13.8
"601940","17031805108",8
"601941","17031808200",8.5
"601991","17031301100",9.9
"602011","17031300800",10.9
"602047","17031300500",10
"602100","17031310900",9.1
"602101","17031740300",8.5
"602185","17031681400",13.4
"602243","17031271300",15.1
"602254","17031390100",11.4
"602272","17031770602",9.3
"602283","17031750600",12.8
"602306","17031802402",8.8
"602311","17031690300",14.4
"602325","17031802900",8.2
"602386","17031804311",7.8
"602489","17031630500",9.1
"602515","17031491000",14.8
"602517","17031600600",9.2
"602521","17031801300",8
"602553","17031680900",14.6
"602562","17031271500",14
"602596","17031802505",8.9
"602603","17031381900",12.5
"602646","17031720100",8.7
"602732","17031801608",7.4
"602742","17031500300",10.6
"602774","17031802403",8.2
"602779","17031670100",13.9
"602783","17031804202",8.1
"602881","17031282800",8.5
"602905","17031806201",8.7
"602944","17031310600",9.2
"602954","17031640100",9
"602978","17031710400",13.5
"602982","17031805600",8.3
"603007","17031681000",15.2
"603045","17031351400",14.7
"603169","17031807500",7.5
"603230","17031804810",8.8
"603246","17031806802",8.3
"603278","17031460500",11.4
"603405","17031570300",9
"603490","17031802609",8.6
"603495","17031611000",14.5
"603507","17031700301",9.1
"603555","17031711400",12.8
"603556","17031750400",9.3
"603578","17031808702",9.8
"603620","17031600400",8.3
"603676","17031390600",9.2
"603694","17031670200",14.2
"603733","17031807900",8.2
"603742","17031750500",11.5
"603779","17031461000",11.5
"603800","17031710200",13.7
"603838","17031804305",8.9
"603849","17031620200",8.5
"603899","17031801400",7.8
"603906","17031340500",9.4
"603959","17031810302",9.3
"603968","17031803013",8.5
"603969","17031520600",9.3
"603978","17031330200",8.7
"603992","17031480300",12
"604097","17031809400",8.3
"604111","17031710900",13.8
"604190","17031490800",12.5
"604272","17031711500",12.5
"604284","17031491100",11.6
"604291","17031530503",12.8
"604311","17031801605",7.8
"604331","17031480400",11.7
"604373","17031802610",8.3
"604376","17031804901",8.1
"604385","17031612100",13.3
"604417","17031640600",9.9
"604435","17031809700",9.6
"604447","17031570100",8.9
"604449","17031805106",8.5
"604508","17031770500",10
"604524","17031431400",13
"604556","17031330100",8.2
"604570","17031510200",11.9
"604577","17031380100",13.5
"604624","17031805702",8.4
"604679","17031750300",8.8
"604691","17031410800",8.9
"604695","17031681200",15.2
"604763","17031804507",7.8
"604767","17031804606",8.4
"604786","17031681100",14.6
"604787","17031310500",8.4
"604789","17031430500",14.8
"604822","17031809600",10
"604899","17031804609",7.5
"604928","17031802003",7.7
"604940","17031802300",7.4
"604945","17031590600",9.1
"604980","17031710800",12.6
"605007","17031802504",8.6
"605042","17031808100",8.5
"605063","17031672000",13
"605071","17031804506",8.3
"605090","17031300900",10.4
"605097","17031480100",11.1
"605111","17031630200",8.7
"605152","17031431301",13.6
"605155","17031770601",8.8
"605180","17031430700",13
"605188","17031803300",8.2
"605217","17031800900",7.3
"605223","17031561000",8.6
"605226","17031804701",8
"605242","17031809000",7.7
"605294","17031600900",8.2
"605350","17031803607",8.2
"605352","17031806104",9.1
"605398","17031260200",14.2
"605399","17031490400",11.2
"605409","17031805502",8.4
"605465","17031381800",11.4
"605472","17031802802",8.5
"605491","17031283800",9.7
"605507","17031807800",7.9
"605581","17031580800",9.1
"605622","17031590500",8.7
"605625","17031803014",8.9
"605642","17031810000",8.2
"605649","17031640300",9
"605663","17031805001",8.3
"605671","17031804306",9.6
"605728","17031420100",13.9
"605741","17031440101",14.9
"605751","17031280900",14.8
"605817","17031801606",7.6
"605847","17031611200",10.8
"605882","17031670300",14
"605884","17031711000",13.2
"605895","17031805501",8.8
"605911","17031351000",10.2
"605931","17031410500",10.6
"605980","17031381200",12.4
"605990","17031440700",11.7
"606004","17031804104",7.7
"606017","17031804710",8.6
"606054","17031520400",8.8
"606061","17031804201",7.9
"606073","17031804611",8.2
"606088","17031260300",14.7
"606146","17031430300",14.5
"606194","17031580200",9.5
"606210","17031550100",9.6
"606237","17031310200",8
"606306","17031630400",9.5
"606321","17031803015",8.3
"606347","17031670500",13.1
"606357","17031350100",8.9
"606389","17031809900",7.9
"606400","17031520500",9.1
"606425","17031400300",13.4
"606450","17031801000",7.7
"606468","17031700100",11.3
"606470","17031805105",9.1
"606480","17031810400",8.4
"606537","17031291600",9.9
"606543","17031804403",9
"606553","17031710600",13.1
"606576","17031730700",12.8
"606633","17031301600",9.5
"606676","17031770800",9
"606723","17031380700",12.5
"606867","17031491200",12.5
"606982","17031805801",8.2
"607017","17031808002",7.7
"607034","17031671900",13.3
"607180","17031802002",8
"607220","17031730400",11.6
"607221","17031290900",14.1
"607274","17031610300",9.9
"607284","17031661100",10.8
"607352","17031612000",13.4
"607361","17031630300",8.7
"607372","17031803200",7.9
"607395","17031610800",9.4
"607415","17031804310",8.2
"607432","17031770700",8.9
"607504","17031804308",8.8
"607518","17031440600",10.9
"607544","17031351500",11.9
"607571","17031691200",13.5
"607606","17031410600",10.3
"607643","17031310400",8.4
"607699","17031660302",10.2
"607740","17031803500",8.3
"607742","17031490300",11.4
"607814","17031805002",8.7
"607850","17031804713",7.6
"607856","17031310700",8.6
"607858","17031671300",13.2
"607865","17031500200",13.9
"607882","17031611800",12.8
"607900","17031670900",12.1
"607903","17031421200",13.4
"607909","17031580300",9.1
"607974","17031282700",9.7
"608033","17031410700",9.2
"608041","17031800700",7.9
"608058","17031770902",9
"608061","17031807700",8.4
"608069","17031803608",8.9
"608072","17031691500",14.6
"608095","17031700501",10.8
"608110","17031804709",8.5
"608121","17031806103",8.4
"608136","17031801607",7.8
"608137","17031291200",14.5
"608206","17031804102",8
"608240","17031540102",16.3
"608291","17031807200",8.1
"608293","17031805109",8.6
"608309","17031380200",12.3
"608379","17031803016",7.6
"608415","17031550200",9
"608428","17031440800",14.1
"608434","17031611100",10.4
"608463","17031261000",13.9
"608505","17031580100",9
"608595","17031730202",11.1
"608620","17031491300",14.5
"608648","17031806400",9.2
"608651","17031809100",8.1
"608659","17031691100",14.1
"608679","17031431200",11.9
"608682","17031750100",12.3
"608697","17031300600",9.8
"608723","17031420700",14.6
"608787","17031671400",13.9
"608808","17031611300",10.3
"608809","17031611700",12.6
"608844","17031804511",8.8
"608873","17031490500",11.5
"608900","17031660400",9.4
"608902","17031611500",9.8
"608940","17031800600",8.1
